Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
1.141040401458740234e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.151045999526977539e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.161056330204010010e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.350900000000000034e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.171066741943359375e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.357300000000000040e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.181074879169464111e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.191085209846496582e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.201095559597015381e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.360500000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.211096291542053223e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.350900000000000034e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.221106631755828857e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.363800000000000168e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.231116960048675537e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.241127321720123291e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.357300000000000040e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.251137619018554688e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.408899999999999864e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.261147849559783936e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.360500000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.271158139705657959e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.350900000000000034e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.281168460845947266e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.363800000000000168e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.291177430152893066e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.301184370517730713e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.311192469596862793e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.350900000000000034e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.321202800273895264e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.331213109493255615e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.341223390102386475e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.351233639717102051e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.350900000000000034e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.361243910789489746e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.371250967979431152e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.357300000000000040e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.381261880397796631e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.391272130012512207e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.363800000000000168e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.401282410621643066e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.411292698383331299e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.421302919387817383e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.350900000000000034e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.431304309368133545e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.350900000000000034e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.441314620971679688e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.357300000000000040e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.451324930191040039e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.461335170269012451e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.363800000000000168e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.471345429420471191e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.481355900764465332e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.491366162300109863e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.501376490592956543e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.360500000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.511386799812316895e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.363800000000000168e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.521397209167480469e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.531407442092895508e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.541417839527130127e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.357300000000000040e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.551428380012512207e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.360500000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.561438620090484619e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.571449041366577148e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.370200000000000173e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.581459410190582275e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.357300000000000040e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.591469690799713135e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.370200000000000173e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.601480088233947754e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.363800000000000168e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.611490411758422852e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.367000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.621500670909881592e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.376699999999999946e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.631510288715362549e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.357300000000000040e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.641520550251007080e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.373400000000000176e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.651530821323394775e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.357300000000000040e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.661534371376037598e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.360500000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.671544680595397949e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.379899999999999949e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.681546480655670166e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.373400000000000176e+01,2.300000000000000000e+01,2.300000000000000000e+01
